City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Kaitangata,NZ,2021-05-17 13:12:01,-46.2817,169.8464,44.01,81,5,4.0
113,Rive-De-Gier,FR,2021-05-17 13:12:01,45.5307,4.6213,64.0,44,35,2.3
114,Severo-Kurilsk,RU,2021-05-17 13:12:02,50.6789,156.125,38.26,98,98,1.88
115,Saint-Leu,RE,2021-05-17 13:12:02,-21.15,55.2833,80.6,65,0,4.61
116,Kupang,ID,2021-05-17 13:12:03,-10.1667,123.5833,78.8,73,20,8.05
117,Lebu,CL,2021-05-17 13:12:03,-37.6167,-73.65,52.7,60,100,4.36
118,Oistins,BB,2021-05-17 13:12:04,13.0667,-59.5333,86.0,58,40,20.71
119,Tombouctou,ML,2021-05-17 13:12:04,20.0,-3.0,112.12,7,61,6.11
120,Paka,MY,2021-05-17 13:12:05,4.6374,103.4368,80.6,83,100,2.3
121,Acarau,BR,2021-05-17 13:07:39,-2.8856,-40.12,82.74,70,7,12.55
122,Lompoc,US,2021-05-17 13:12:06,34.6391,-120.4579,53.6,82,82,4.61
123,Beringovskiy,RU,2021-05-17 13:12:06,63.05,179.3167,30.94,97,100,2.08
124,Alice Springs,AU,2021-05-17 13:12:07,-23.7,133.8833,46.4,36,0,6.91
125,Aden,YE,2021-05-17 13:12:07,12.7794,45.0367,89.92,65,6,8.79
126,Champawat,IN,2021-05-17 13:12:08,29.3333,80.1,74.23,32,100,4.27
127,Natal,BR,2021-05-17 13:11:02,-5.795,-35.2094,82.4,74,40,13.8
128,Chokurdakh,RU,2021-05-17 13:12:08,70.6333,147.9167,27.99,92,77,13.2
129,Matara,LK,2021-05-17 13:12:09,5.9485,80.5353,82.71,79,10,10.54
130,Port Elizabeth,ZA,2021-05-17 13:12:09,-33.918,25.5701,66.2,55,0,17.27
131,Shirokiy,RU,2021-05-17 13:12:09,49.758,129.523,58.39,59,100,6.98
132,Beloha,MG,2021-05-17 13:12:10,-25.1667,45.05,80.29,38,4,12.17
133,Garoua,CM,2021-05-17 13:12:10,9.3,13.4,93.2,55,20,8.05
134,Qaanaaq,GL,2021-05-17 13:12:11,77.484,-69.3632,27.93,85,99,1.39
135,Ambilobe,MG,2021-05-17 13:12:11,-13.2,49.05,85.24,56,27,5.3
136,Vardo,NO,2021-05-17 13:12:12,70.3705,31.1107,39.2,93,75,5.75
137,Chara,RU,2021-05-17 13:12:12,56.9064,118.2631,29.39,80,100,7.11
138,Puerto Carreno,CO,2021-05-17 13:12:13,6.189,-67.4859,79.07,81,100,1.3
139,Narsaq,GL,2021-05-17 13:12:13,60.9167,-46.05,42.8,42,20,5.75
140,Vaitape,PF,2021-05-17 13:12:14,-16.5167,-151.75,80.51,75,27,15.01
